sulfur,genotype,cpd,batch,value,relative
S1500,wt,G01,1,0.852099699,114.9955592
S1500,wt,G01,2,0.756365834,102.0757455
S1500,wt,G01,3,0.791264646,106.7855328
S1500,wt,G01,4,0.677825871,91.4763439
S1500,wt,G01,5,0.627368319,84.66681859
S1500,bglu28bglu30,G01,1,0.656392603,88.58380605
S1500,bglu28bglu30,G01,2,0.804916634,108.627944
S1500,bglu28bglu30,G01,3,0.964219453,130.126739
S1500,bglu28bglu30,G01,4,0.938765792,126.691627
S1500,bglu28bglu30,G01,5,0.752271026,101.5231286
S150,wt,G01,1,0.323964604,43.72081212
S150,wt,G01,2,0.018365246,2.478491385
S150,wt,G01,3,0.065274709,8.80918242
S150,wt,G01,4,0.132838187,17.92724674
S150,wt,G01,5,0.111107526,14.99457411
S150,bglu28bglu30,G01,1,0.131619653,17.76279896
S150,bglu28bglu30,G01,2,0.119265476,16.09553447
S150,bglu28bglu30,G01,3,0.20543509,27.72459974
S150,bglu28bglu30,G01,4,0.156529596,21.12453322
S150,bglu28bglu30,G01,5,0.244178569,32.95324608
S15,wt,G01,1,0.000257207,0.034711514
S15,wt,G01,2,0.000239937,0.032380821
S15,wt,G01,3,0.000253091,0.034156037
S15,wt,G01,4,0.000258884,0.034937869
S15,wt,G01,5,0.000244275,0.03296621
S15,bglu28bglu30,G01,1,0.007895513,1.065543125
S15,bglu28bglu30,G01,2,0.010239382,1.381861093
S15,bglu28bglu30,G01,3,0.017309398,2.335998899
S15,bglu28bglu30,G01,4,0.00842143,1.136518513
S15,bglu28bglu30,G01,5,0.012125306,1.636377037
S0,wt,G01,1,0.000232937,0.031436136
S0,wt,G01,2,0.000247756,0.033436009
S0,wt,G01,3,0.002328136,0.314194751
S0,wt,G01,4,0.000258917,0.034942248
S0,wt,G01,5,0.035028543,4.727295246
S0,bglu28bglu30,G01,1,0.014988873,2.022831208
S0,bglu28bglu30,G01,2,0.006407196,0.864686521
S0,bglu28bglu30,G01,3,0.01397749,1.886339435
S0,bglu28bglu30,G01,4,0.00546244,0.737186409
S0,bglu28bglu30,G01,5,0.010161654,1.371371368
S1500,wt,G02,1,6.597912982,102.2105953
S1500,wt,G02,2,6.841853035,105.9895566
S1500,wt,G02,3,6.25809835,96.94640706
S1500,wt,G02,4,6.431452936,99.63190404
S1500,wt,G02,5,6.146754292,95.22153702
S1500,bglu28bglu30,G02,1,7.429436672,115.0920218
S1500,bglu28bglu30,G02,2,8.012169507,124.1193415
S1500,bglu28bglu30,G02,3,8.57406065,132.8237952
S1500,bglu28bglu30,G02,4,7.603865871,117.794166
S1500,bglu28bglu30,G02,5,6.962149507,107.8531117
S150,wt,G02,1,2.873433509,44.51337117
S150,wt,G02,2,0.372357179,5.768316291
S150,wt,G02,3,0.600969038,9.309823171
S150,wt,G02,4,1.13478603,17.57937032
S150,wt,G02,5,1.270557958,19.68266111
S150,bglu28bglu30,G02,1,2.52171631,39.06479607
S150,bglu28bglu30,G02,2,1.689073742,26.16603661
S150,bglu28bglu30,G02,3,2.445523092,37.88446009
S150,bglu28bglu30,G02,4,2.224780628,34.46486079
S150,bglu28bglu30,G02,5,2.459337494,38.09846386
S15,wt,G02,1,0.001899796,0.029430405
S15,wt,G02,2,0.002059523,0.031904798
S15,wt,G02,3,0.003604979,0.055845992
S15,wt,G02,4,0.001912184,0.029622322
S15,wt,G02,5,0.005576155,0.086382178
S15,bglu28bglu30,G02,1,1.619001413,25.08052146
S15,bglu28bglu30,G02,2,0.822040273,12.73451558
S15,bglu28bglu30,G02,3,0.892171577,13.82094432
S15,bglu28bglu30,G02,4,0.38830828,6.015420413
S15,bglu28bglu30,G02,5,0.913797674,14.15596181
S0,wt,G02,1,0.107154719,1.65997151
S0,wt,G02,2,0.026667712,0.413118928
S0,wt,G02,3,0.025184354,0.390139696
S0,wt,G02,4,0.001111219,0.017214285
S0,wt,G02,5,0.820908399,12.71698133
S0,bglu28bglu30,G02,1,0.964772651,14.94563314
S0,bglu28bglu30,G02,2,0.76478736,11.84759052
S0,bglu28bglu30,G02,3,1.294795635,20.0581355
S0,bglu28bglu30,G02,4,0.410909371,6.365541882
S0,bglu28bglu30,G02,5,0.673568099,10.4344808
S1500,wt,G03,1,0.532215855,94.63146974
S1500,wt,G03,2,0.619305213,110.1165288
S1500,wt,G03,3,0.573455532,101.9641549
S1500,wt,G03,4,0.58427899,103.8886366
S1500,wt,G03,5,0.502789158,89.39921001
S1500,bglu28bglu30,G03,1,0.54164669,96.30833404
S1500,bglu28bglu30,G03,2,0.611954204,108.8094713
S1500,bglu28bglu30,G03,3,0.743533839,132.2051933
S1500,bglu28bglu30,G03,4,0.639625885,113.7296775
S1500,bglu28bglu30,G03,5,0.580319429,103.1846007
S150,wt,G03,1,0.292664529,52.03767279
S150,wt,G03,2,0.042085458,7.483070438
S150,wt,G03,3,0.063269531,11.24973762
S150,wt,G03,4,0.115522976,20.54074286
S150,wt,G03,5,0.145287813,25.83312613
S150,bglu28bglu30,G03,1,0.239915503,42.65855006
S150,bglu28bglu30,G03,2,0.142410305,25.3214862
S150,bglu28bglu30,G03,3,0.220549916,39.21522163
S150,bglu28bglu30,G03,4,0.171968862,30.57719159
S150,bglu28bglu30,G03,5,0.241919873,43.01494019
S15,wt,G03,1,0.000257207,0.045733104
S15,wt,G03,2,0.000239937,0.042662369
S15,wt,G03,3,0.000253091,0.045001251
S15,wt,G03,4,0.000258884,0.046031331
S15,wt,G03,5,0.000244275,0.043433631
S15,bglu28bglu30,G03,1,0.210599972,37.44605641
S15,bglu28bglu30,G03,2,0.11331907,20.14887392
S15,bglu28bglu30,G03,3,0.148520337,26.40788997
S15,bglu28bglu30,G03,4,0.081794229,14.5435504
S15,bglu28bglu30,G03,5,0.172437771,30.66056664
S0,wt,G03,1,0.00675133,1.200430747
S0,wt,G03,2,0.000247756,0.0440526
S0,wt,G03,3,0.000256912,0.04568062
S0,wt,G03,4,0.000258917,0.0460371
S0,wt,G03,5,0.061400012,10.91732489
S0,bglu28bglu30,G03,1,0.157622675,28.02634537
S0,bglu28bglu30,G03,2,0.097281357,17.2972633
S0,bglu28bglu30,G03,3,0.165478745,29.42320623
S0,bglu28bglu30,G03,4,0.119931181,21.32455053
S0,bglu28bglu30,G03,5,0.125635613,22.3388361
S1500,wt,G04,1,0.390691446,94.82355729
S1500,wt,G04,2,0.458588873,111.3027396
S1500,wt,G04,3,0.50874324,123.4755567
S1500,wt,G04,4,0.45974043,111.5822305
S1500,wt,G04,5,0.24233298,58.81591593
S1500,bglu28bglu30,G04,1,0.419577819,101.8344829
S1500,bglu28bglu30,G04,2,0.601406755,145.9656425
S1500,bglu28bglu30,G04,3,0.564250855,136.9476447
S1500,bglu28bglu30,G04,4,0.447454678,108.6003924
S1500,bglu28bglu30,G04,5,0.273259649,66.3220357
S150,wt,G04,1,0.329401278,79.94800328
S150,wt,G04,2,0.087911438,21.33672322
S150,wt,G04,3,0.173040437,41.99812909
S150,wt,G04,4,0.176821238,42.91575613
S150,wt,G04,5,0.238763357,57.94954332
S150,bglu28bglu30,G04,1,0.254696257,61.81656997
S150,bglu28bglu30,G04,2,0.16500432,40.04770718
S150,bglu28bglu30,G04,3,0.283801947,68.88072529
S150,bglu28bglu30,G04,4,0.233103055,56.57574832
S150,bglu28bglu30,G04,5,0.274769388,66.68845996
S15,wt,G04,1,0.000257207,0.062425962
S15,wt,G04,2,0.000239937,0.058234391
S15,wt,G04,3,0.000253091,0.061426979
S15,wt,G04,4,0.000258884,0.062833044
S15,wt,G04,5,0.000244275,0.059287168
S15,bglu28bglu30,G04,1,0.090010849,21.84626513
S15,bglu28bglu30,G04,2,0.042444113,10.30148433
S15,bglu28bglu30,G04,3,0.054856184,13.31398109
S15,bglu28bglu30,G04,4,0.039020781,9.470617546
S15,bglu28bglu30,G04,5,0.063395276,15.38647871
S0,wt,G04,1,0.000232937,0.056535449
S0,wt,G04,2,0.000247756,0.060132064
S0,wt,G04,3,0.000256912,0.062354321
S0,wt,G04,4,0.003272863,0.79434691
S0,wt,G04,5,0.000256702,0.062303404
S0,bglu28bglu30,G04,1,0.05461879,13.25636374
S0,bglu28bglu30,G04,2,0.036551361,8.871271908
S0,bglu28bglu30,G04,3,0.087442909,21.22300805
S0,bglu28bglu30,G04,4,0.017387201,4.219995882
S0,bglu28bglu30,G04,5,0.043342534,10.51953741
S1500,wt,G05,1,0.75932671,80.59047558
S1500,wt,G05,2,1.057835397,112.2724337
S1500,wt,G05,3,1.067854066,113.3357564
S1500,wt,G05,4,0.955091925,101.3678452
S1500,wt,G05,5,0.870912062,92.43348913
S1500,bglu28bglu30,G05,1,0.952036379,101.0435475
S1500,bglu28bglu30,G05,2,0.914493897,97.05900908
S1500,bglu28bglu30,G05,3,1.11005993,117.8152387
S1500,bglu28bglu30,G05,4,0.97156392,103.116086
S1500,bglu28bglu30,G05,5,1.017219183,107.9616673
S150,wt,G05,1,0.756406437,80.28053489
S150,wt,G05,2,0.242747854,25.76383094
S150,wt,G05,3,0.284460525,30.19096876
S150,wt,G05,4,0.347685259,36.90127054
S150,wt,G05,5,0.412798143,43.81196947
S150,bglu28bglu30,G05,1,0.565093734,59.97572865
S150,bglu28bglu30,G05,2,0.387633799,41.14117391
S150,bglu28bglu30,G05,3,0.583231892,61.90080616
S150,bglu28bglu30,G05,4,0.42123588,44.70750127
S150,bglu28bglu30,G05,5,0.584185224,62.00198727
S15,wt,G05,1,0.000257207,0.027298447
S15,wt,G05,2,0.000239937,0.025465502
S15,wt,G05,3,0.000253091,0.026861599
S15,wt,G05,4,0.000258884,0.027476461
S15,wt,G05,5,0.000244275,0.025925874
S15,bglu28bglu30,G05,1,0.390225459,41.41623741
S15,bglu28bglu30,G05,2,0.230639598,24.47873181
S15,bglu28bglu30,G05,3,0.256475577,27.2208108
S15,bglu28bglu30,G05,4,0.17425548,18.49445279
S15,bglu28bglu30,G05,5,0.26962767,28.61669665
S0,wt,G05,1,0.006859017,0.727975736
S0,wt,G05,2,0.000247756,0.026295341
S0,wt,G05,3,0.000256912,0.027267119
S0,wt,G05,4,0.000258917,0.027479905
S0,wt,G05,5,0.031692339,3.363638699
S0,bglu28bglu30,G05,1,0.311075079,33.01568119
S0,bglu28bglu30,G05,2,0.221113596,23.46769789
S0,bglu28bglu30,G05,3,0.291540322,30.94237687
S0,bglu28bglu30,G05,4,0.143135367,15.19154689
S0,bglu28bglu30,G05,5,0.232765504,24.70436293
S1500,wt,G06,1,4.843818701,91.47431376
S1500,wt,G06,2,5.673759501,107.1475398
S1500,wt,G06,3,5.930589173,111.9977044
S1500,wt,G06,4,4.994644422,94.32262008
S1500,wt,G06,5,5.033575406,95.05782205
S1500,bglu28bglu30,G06,1,5.206309099,98.31985496
S1500,bglu28bglu30,G06,2,6.10771943,115.3427653
S1500,bglu28bglu30,G06,3,6.541552373,123.5355927
S1500,bglu28bglu30,G06,4,5.805454954,109.6345757
S1500,bglu28bglu30,G06,5,5.110729797,96.51486356
S150,wt,G06,1,4.024400452,75.99980354
S150,wt,G06,2,1.842902478,34.80275582
S150,wt,G06,3,1.950449659,36.83375764
S150,wt,G06,4,2.178828246,41.14663058
S150,wt,G06,5,2.3600644,44.56923034
S150,bglu28bglu30,G06,1,2.744619914,51.83146577
S150,bglu28bglu30,G06,2,1.944771798,36.72653264
S150,bglu28bglu30,G06,3,3.313356678,62.57191838
S150,bglu28bglu30,G06,4,2.20002871,41.54699606
S150,bglu28bglu30,G06,5,3.282667201,61.99235523
S15,wt,G06,1,0.000257207,0.004857292
S15,wt,G06,2,0.021881053,0.413218257
S15,wt,G06,3,0.01317997,0.248900467
S15,wt,G06,4,0.000258884,0.004888966
S15,wt,G06,5,0.01505831,0.284372438
S15,bglu28bglu30,G06,1,0.868498153,16.40137203
S15,bglu28bglu30,G06,2,0.802433152,15.15375088
S15,bglu28bglu30,G06,3,0.67583392,12.76295582
S15,bglu28bglu30,G06,4,0.530779417,10.02363754
S15,bglu28bglu30,G06,5,0.599398372,11.31948946
S0,wt,G06,1,0.038890698,0.734441178
S0,wt,G06,2,0.016982171,0.320704088
S0,wt,G06,3,0.024332639,0.459515852
S0,wt,G06,4,0.000258917,0.004889579
S0,wt,G06,5,0.084443955,1.594703128
S0,bglu28bglu30,G06,1,0.480766515,9.079156294
S0,bglu28bglu30,G06,2,0.55287971,10.44099609
S0,bglu28bglu30,G06,3,0.835729457,15.78254333
S0,bglu28bglu30,G06,4,0.270280869,5.104187112
S0,bglu28bglu30,G06,5,0.510898687,9.648194878
S1500,wt,G07,1,0.105400702,126.4499774
S1500,wt,G07,2,0.07497568,89.94886086
S1500,wt,G07,3,0.064302741,77.14445933
S1500,wt,G07,4,0.068258464,81.89016851
S1500,wt,G07,5,0.103830783,124.5665339
S1500,bglu28bglu30,G07,1,0.074155775,88.96521446
S1500,bglu28bglu30,G07,2,0.083993549,100.7676622
S1500,bglu28bglu30,G07,3,0.056686361,68.0070334
S1500,bglu28bglu30,G07,4,0.092987484,111.5577502
S1500,bglu28bglu30,G07,5,0.082013486,98.39216701
S150,wt,G07,1,0.024257246,29.10159159
S150,wt,G07,2,0.00025583,0.306921572
S150,wt,G07,3,0.008057542,9.666691403
S150,wt,G07,4,0.007976159,9.569055206
S150,wt,G07,5,0.002706348,3.24682459
S150,bglu28bglu30,G07,1,0.117643376,141.137601
S150,bglu28bglu30,G07,2,0.053506629,64.19228589
S150,bglu28bglu30,G07,3,0.026907561,32.28119331
S150,bglu28bglu30,G07,4,0.029096471,34.90724456
S150,bglu28bglu30,G07,5,0.042655852,51.17453135
S15,wt,G07,1,0.000257207,0.308573165
S15,wt,G07,2,0.000239937,0.287854117
S15,wt,G07,3,0.000253091,0.303635163
S15,wt,G07,4,0.000258884,0.310585383
S15,wt,G07,5,0.000244275,0.293058024
S15,bglu28bglu30,G07,1,0.000244681,0.293545551
S15,bglu28bglu30,G07,2,0.00023777,0.285254563
S15,bglu28bglu30,G07,3,0.003608935,4.329665404
S15,bglu28bglu30,G07,4,0.000260343,0.312335774
S15,bglu28bglu30,G07,5,0.005228298,6.272426078
S0,wt,G07,1,0.000232937,0.279456205
S0,wt,G07,2,0.000247756,0.297234368
S0,wt,G07,3,0.000256912,0.308219039
S0,wt,G07,4,0.000258917,0.310624304
S0,wt,G07,5,0.000256702,0.307967357
S0,bglu28bglu30,G07,1,0.000245596,0.294643321
S0,bglu28bglu30,G07,2,0.000236933,0.284250517
S0,bglu28bglu30,G07,3,0.000243653,0.292312133
S0,bglu28bglu30,G07,4,0.000252994,0.303518477
S0,bglu28bglu30,G07,5,0.000256627,0.307877101
S1500,wt,G08,1,3.580834083,91.64215877
S1500,wt,G08,2,3.254308939,83.2855948
S1500,wt,G08,3,3.403701617,87.10891282
S1500,wt,G08,4,5.020101941,128.4764858
S1500,wt,G08,5,4.278099095,109.4868479
S1500,bglu28bglu30,G08,1,5.69970248,145.8690985
S1500,bglu28bglu30,G08,2,6.872188994,175.8758491
S1500,bglu28bglu30,G08,3,3.977451884,101.7925625
S1500,bglu28bglu30,G08,4,5.3872134,137.8717512
S1500,bglu28bglu30,G08,5,5.262739469,134.6861638
S150,wt,G08,1,1.899057908,48.60146052
S150,wt,G08,2,0.298059079,7.628048878
S150,wt,G08,3,0.562108901,14.38571907
S150,wt,G08,4,1.184630974,30.31755654
S150,wt,G08,5,1.072055853,27.43648837
S150,bglu28bglu30,G08,1,8.201406168,209.8937144
S150,bglu28bglu30,G08,2,6.726628474,172.1506052
S150,bglu28bglu30,G08,3,3.510772183,89.8491062
S150,bglu28bglu30,G08,4,5.356772538,137.0926963
S150,bglu28bglu30,G08,5,5.311229835,135.927149
S15,wt,G08,1,0.000257207,0.006582548
S15,wt,G08,2,0.000239937,0.006140565
S15,wt,G08,3,0.000253091,0.006477209
S15,wt,G08,4,0.000258884,0.006625473
S15,wt,G08,5,0.000244275,0.006251575
S15,bglu28bglu30,G08,1,2.307790717,59.0619164
S15,bglu28bglu30,G08,2,4.611326324,118.0149343
S15,bglu28bglu30,G08,3,2.912805786,74.54570755
S15,bglu28bglu30,G08,4,3.228471447,82.62435122
S15,bglu28bglu30,G08,5,4.719839215,120.7920402
S0,wt,G08,1,0.005176757,0.132485672
S0,wt,G08,2,0.005664998,0.144980915
S0,wt,G08,3,0.002237369,0.057259645
S0,wt,G08,4,0.005128662,0.131254804
S0,wt,G08,5,0.031494948,0.806031497
S0,bglu28bglu30,G08,1,3.108456314,79.55287522
S0,bglu28bglu30,G08,2,3.502481319,89.63692304
S0,bglu28bglu30,G08,3,6.908696155,176.8101552
S0,bglu28bglu30,G08,4,3.743297574,95.79999035
S0,bglu28bglu30,G08,5,2.502993334,64.05762099
S1500,wt,G09,1,0.728258275,100.0424954
S1500,wt,G09,2,0.625912017,85.98295717
S1500,wt,G09,3,0.720299393,98.94916566
S1500,wt,G09,4,0.838692813,115.213139
S1500,wt,G09,5,0.726582154,99.81224282
S1500,bglu28bglu30,G09,1,0.807999198,110.9966872
S1500,bglu28bglu30,G09,2,1.197743729,164.5367798
S1500,bglu28bglu30,G09,3,0.872507606,119.858354
S1500,bglu28bglu30,G09,4,0.937729035,128.81797
S1500,bglu28bglu30,G09,5,0.79439708,109.1281334
S150,wt,G09,1,0.443747712,60.95863236
S150,wt,G09,2,0.113784155,15.63078814
S150,wt,G09,3,0.136824874,18.7959441
S150,wt,G09,4,0.264525914,36.33852642
S150,wt,G09,5,0.237881323,32.67829824
S150,bglu28bglu30,G09,1,0.729427104,100.20306
S150,bglu28bglu30,G09,2,0.617037218,84.7638058
S150,bglu28bglu30,G09,3,0.551903462,75.81623365
S150,bglu28bglu30,G09,4,0.662577929,91.01983682
S150,bglu28bglu30,G09,5,0.690184714,94.81224366
S15,wt,G09,1,0.000257207,0.03533312
S15,wt,G09,2,0.000239937,0.032960689
S15,wt,G09,3,0.000253091,0.034767695
S15,wt,G09,4,0.000258884,0.035563529
S15,wt,G09,5,0.000244275,0.033556561
S15,bglu28bglu30,G09,1,0.264816903,36.37850015
S15,bglu28bglu30,G09,2,0.630948201,86.6747892
S15,bglu28bglu30,G09,3,0.480940342,66.06786845
S15,bglu28bglu30,G09,4,0.5547504,76.20732405
S15,bglu28bglu30,G09,5,0.763081041,104.8261779
S0,wt,G09,1,0.000232937,0.031999087
S0,wt,G09,2,0.000247756,0.034034773
S0,wt,G09,3,0.000256912,0.035292571
S0,wt,G09,4,0.000258917,0.035567985
S0,wt,G09,5,0.000256702,0.035263752
S0,bglu28bglu30,G09,1,0.512902388,70.45856737
S0,bglu28bglu30,G09,2,0.645980498,88.73981009
S0,bglu28bglu30,G09,3,0.971204613,133.4165862
S0,bglu28bglu30,G09,4,0.820666482,112.7368209
S0,bglu28bglu30,G09,5,0.429181889,58.95769208
S1500,wt,G10,1,0.897178988,95.9964058
S1500,wt,G10,2,0.805525539,86.18966506
S1500,wt,G10,3,0.933585841,99.89186819
S1500,wt,G10,4,1.104531361,118.1827062
S1500,wt,G10,5,0.932160456,99.73935478
S1500,bglu28bglu30,G10,1,0.887178693,94.92639369
S1500,bglu28bglu30,G10,2,1.266153196,135.475928
S1500,bglu28bglu30,G10,3,1.126311549,120.5131439
S1500,bglu28bglu30,G10,4,1.282911266,137.2690089
S1500,bglu28bglu30,G10,5,1.005475707,107.5839439
S150,wt,G10,1,0.683033846,73.08329232
S150,wt,G10,2,0.340834153,36.46859108
S150,wt,G10,3,0.409895512,43.85802212
S150,wt,G10,4,0.446394095,47.76329946
S150,wt,G10,5,0.49474215,52.93644724
S150,bglu28bglu30,G10,1,0.574492178,61.46954499
S150,bglu28bglu30,G10,2,0.501305882,53.6387538
S150,bglu28bglu30,G10,3,0.658039535,70.40894966
S150,bglu28bglu30,G10,4,0.587306676,62.84067135
S150,bglu28bglu30,G10,5,0.680320913,72.7930137
S15,wt,G10,1,0.000257207,0.027520656
S15,wt,G10,2,0.000239937,0.02567279
S15,wt,G10,3,0.000253091,0.027080251
S15,wt,G10,4,0.000258884,0.027700119
S15,wt,G10,5,0.000244275,0.02613691
S15,bglu28bglu30,G10,1,0.11963751,12.80098075
S15,bglu28bglu30,G10,2,0.23804835,25.47071018
S15,bglu28bglu30,G10,3,0.157027084,16.80159243
S15,bglu28bglu30,G10,4,0.273307921,29.2434157
S15,bglu28bglu30,G10,5,0.22557861,24.13647232
S0,wt,G10,1,0.000232937,0.024923807
S0,wt,G10,2,0.000247756,0.026509385
S0,wt,G10,3,0.000256912,0.027489073
S0,wt,G10,4,0.000258917,0.027703591
S0,wt,G10,5,0.000256702,0.027466626
S0,bglu28bglu30,G10,1,0.166842964,17.85187243
S0,bglu28bglu30,G10,2,0.194450881,20.80586587
S0,bglu28bglu30,G10,3,0.374947706,40.11867487
S0,bglu28bglu30,G10,4,0.188713137,20.1919384
